Code postal;Commune;Region
3472;Wynigen;2
3474;Wynigen;2
2534;Corgémont;2
2606;Corgémont;2
2608;Corgémont;2
2720;Corgémont;2
2608;Cormoret;2
2610;Cormoret;2
2612;Cormoret;2
2613;Cormoret;2
2607;Cortébert;2
2608;Cortébert;2
2723;Cortébert;2
2608;Courtelary;2
2608;Courtelary;2
2610;Courtelary;2
2723;Courtelary;2
2333;La Ferrière;2
2333;La Ferrière;2
2610;La Ferrière;2
2720;Mont-Tramelan;2
2723;Mont-Tramelan;2
2534;Orvin;2
2534;Orvin;2
2535;Orvin;2
2616;Renan (BE);2
2616;Renan (BE);2
2536;Romont (BE);2
2538;Romont (BE);2
2603;Romont (BE);2
2345;Saint-Imier;2
2610;Saint-Imier;2
2610;Saint-Imier;2
2610;Saint-Imier;2
2605;Sonceboz-Sombeval;2
2606;Sonceboz-Sombeval;2
2720;Sonceboz-Sombeval;2
2333;Sonvilier;2
2345;Sonvilier;2
2610;Sonvilier;2
2615;Sonvilier;2
2615;Sonvilier;2
2720;Tramelan;2
2720;Tramelan;2
2722;Tramelan;2
2723;Tramelan;2
2345;Villeret;2
2610;Villeret;2
2610;Villeret;2
2613;Villeret;2
2535;Sauge;2
2536;Sauge;2
2537;Sauge;2
2535;Péry-La Heutte;2
2603;Péry-La Heutte;2
2604;Péry-La Heutte;2
2732;Péry-La Heutte;2
2735;Péry-La Heutte;2
3237;Brüttelen;2
3232;Erlach;2
3233;Erlach;2
3235;Erlach;2
2577;Finsterhennen;2
2525;Gals;2
3235;Gals;2
3238;Gals;2
3236;Gampelen;2
3232;Ins;2
3236;Ins;2
2575;Lüscherz;2
2576;Lüscherz;2
3225;Müntschemier;2
2577;Siselen;2
3226;Treiten;2
3233;Tschugg;2
2576;Vinelz;2
3234;Vinelz;2
3314;Bätterkinden;2
3315;Bätterkinden;2
3315;Bätterkinden;2
4573;Bätterkinden;2
3053;Deisswil bei Münchenbuchsee;2
3306;Fraubrunnen;2
3308;Fraubrunnen;2
3309;Fraubrunnen;2
3312;Fraubrunnen;2
3313;Fraubrunnen;2
3314;Fraubrunnen;2
3317;Fraubrunnen;2
3317;Fraubrunnen;2
3303;Jegenstorf;2
3303;Jegenstorf;2
3303;Jegenstorf;2
3305;Jegenstorf;2
3305;Iffwil;2
3322;Mattstetten;2
3322;Mattstetten;2
3053;Moosseedorf;2
3302;Moosseedorf;2
3322;Moosseedorf;2
3052;Münchenbuchsee;2
3053;Münchenbuchsee;2
3053;Münchenbuchsee;2
3322;Urtenen-Schönbühl;2
3427;Utzenstorf;2
3053;Wiggiswil;2
3427;Wiler bei Utzenstorf;2
3428;Wiler bei Utzenstorf;2
4564;Zielebach;2
3303;Zuzwil (BE);2
3715;Adelboden;3
3725;Adelboden;3
3702;Aeschi bei Spiez;3
3703;Aeschi bei Spiez;3
3703;Aeschi bei Spiez;3
3704;Aeschi bei Spiez;3
3711;Aeschi bei Spiez;3
3711;Aeschi bei Spiez;3
3713;Frutigen;3
3714;Frutigen;3
3715;Frutigen;3
3716;Frutigen;3
3724;Frutigen;3
3725;Frutigen;3
3716;Kandergrund;3
3717;Kandergrund;3
3718;Kandersteg;3
3704;Krattigen;3
3705;Krattigen;3
3711;Reichenbach im Kandertal;3
3713;Reichenbach im Kandertal;3
3714;Reichenbach im Kandertal;3
3722;Reichenbach im Kandertal;3
3723;Reichenbach im Kandertal;3
3800;Beatenberg;3
3803;Beatenberg;3
3806;Bönigen;3
3855;Brienz (BE);3
3855;Brienz (BE);3
3856;Brienzwiler;3
3860;Brienzwiler;3
3707;Därligen;3
3816;Grindelwald;3
3816;Grindelwald;3
3818;Grindelwald;3
3823;Grindelwald;3
3812;Gsteigwiler;3
3814;Gsteigwiler;3
3812;Gündlischwand;3
3815;Gündlischwand;3
3815;Gündlischwand;3
3804;Habkern;3
6197;Habkern;3
3858;Hofstetten bei Brienz;3
3800;Interlaken;3
3807;Iseltwald;3
3801;Lauterbrunnen;3
3822;Lauterbrunnen;3
3822;Lauterbrunnen;3
3823;Lauterbrunnen;3
3823;Lauterbrunnen;3
3823;Lauterbrunnen;3
3824;Lauterbrunnen;3
3825;Lauterbrunnen;3
3826;Lauterbrunnen;3
3706;Leissigen;3
3816;Lütschental;3
3800;Matten bei Interlaken;3
3812;Matten bei Interlaken;3
3853;Niederried bei Interlaken;3
3854;Oberried am Brienzersee;3
3855;Oberried am Brienzersee;3
3805;Ringgenberg (BE);3
3852;Ringgenberg (BE);3
3813;Saxeten;3
3855;Schwanden bei Brienz;3
3800;Unterseen;3
3812;Wilderswil;3
3507;Arni (BE);2
3508;Arni (BE);2
3507;Biglen;2
3531;Bowil;2
3533;Bowil;2
3534;Bowil;2
3538;Bowil;2
3673;Bowil;2
3671;Brenzikofen;2
3510;Freimettigen;2
3082;Grosshöchstetten;2
3506;Grosshöchstetten;2
3510;Häutligen;2
3671;Herbligen;2
3114;Kiesen;2
3629;Kiesen;2
3503;Konolfingen;2
3510;Konolfingen;2
3434;Landiswil;2
3434;Landiswil;2
3508;Landiswil;2
3538;Linden;2
3615;Linden;2
3672;Linden;2
3673;Linden;2
3506;Mirchel;2
3532;Mirchel;2
3083;Münsingen;2
3110;Münsingen;2
3111;Münsingen;2
3504;Niederhünigen;2
3672;Oberdiessbach;2
3672;Oberdiessbach;2
3674;Oberdiessbach;2
3506;Oberthal;2
3508;Oberthal;2
3531;Oberthal;2
3629;Oppligen;2
3112;Rubigen;2
3113;Rubigen;2
3068;Walkringen;2
3415;Walkringen;2
3512;Walkringen;2
3513;Walkringen;2
3068;Worb;2
3075;Worb;2
3075;Worb;2
3076;Worb;2
3077;Worb;2
3078;Worb;2
3082;Worb;2
3113;Worb;2
3506;Zäziwil;2
3531;Zäziwil;2
3532;Zäziwil;2
3533;Zäziwil;2
3504;Oberhünigen;2
3532;Oberhünigen;2
3532;Oberhünigen;2
3533;Oberhünigen;2
3673;Oberhünigen;2
3073;Allmendingen;2
3112;Allmendingen;2
3114;Wichtrach;2
3510;Wichtrach;2
3177;Ferenbalm;2
3205;Ferenbalm;2
3206;Ferenbalm;2
3206;Ferenbalm;2
3206;Ferenbalm;2
3206;Ferenbalm;2
3207;Ferenbalm;2
3020;Frauenkappelen;2
3033;Frauenkappelen;2
3202;Frauenkappelen;2
3208;Gurbrü;2
3210;Gurbrü;2
3179;Kriechenwil;2
3177;Laupen;2
3202;Mühleberg;2
3203;Mühleberg;2
3204;Mühleberg;2
3205;Mühleberg;2
1797;Münchenwiler;2
3174;Neuenegg;2
3176;Neuenegg;2
3177;Neuenegg;2
3204;Neuenegg;2
3207;Wileroltigen;2
2744;Belprahon;2
2735;Champoz;2
2747;Corcelles (BE);2
2735;Court;2
2738;Court;2
2746;Crémines;2
4716;Crémines;2
2743;Eschert;2
2745;Grandval;2
2732;Loveresse;2
2733;Loveresse;2
2740;Moutier;2
2742;Perrefitte;2
2710;Reconvilier;2
2732;Reconvilier;2
2740;Roches (BE);2
2762;Roches (BE);2
2712;Saicourt;2
2713;Saicourt;2
2720;Saicourt;2
2732;Saicourt;2
2732;Saules (BE);2
2827;Schelten;2
2747;Seehof;2
2736;Sorvilier;2
2710;Tavannes;2
2720;Tavannes;2
2717;Rebévelier;2
2712;Petit-Val;2
2715;Petit-Val;2
2715;Petit-Val;2
2716;Petit-Val;2
2717;Petit-Val;2
2748;Petit-Val;2
2748;Petit-Val;2
2733;Valbirse;2
2735;Valbirse;2
2735;Valbirse;2
2514;La Neuveville;2
2520;La Neuveville;2
2523;La Neuveville;2
2518;Nods;2
2523;Nods;2
2534;Nods;2
2515;Plateau de Diesse;2
2516;Plateau de Diesse;2
2517;Plateau de Diesse;2
2558;Aegerten;2
2562;Bellmund;2
2563;Bellmund;2
2564;Bellmund;2
2503;Brügg;2
2504;Brügg;2
2552;Brügg;2
2555;Brügg;2
3274;Bühl;2
3272;Epsach;2
2575;Hagneck;2
2575;Hagneck;2
3274;Hermrigen;2
2565;Jens;2
2563;Ipsach;2
2513;Ligerz;2
2514;Ligerz;2
3274;Merzligen;2
2572;Mörigen;2
2503;Nidau;2
2560;Nidau;2
2504;Orpund;2
2552;Orpund;2
2560;Port;2
2562;Port;2
2553;Safnern;2
2556;Scheuren;2
2556;Schwadernau;2
2557;Studen (BE);2
2572;Sutz-Lattrigen;2
2575;Täuffelen;2
2575;Täuffelen;2
2575;Täuffelen;2
3272;Walperswil;2
3252;Worben;2
2505;Twann-Tüscherz;2
2512;Twann-Tüscherz;2
2513;Twann-Tüscherz;2
2516;Twann-Tüscherz;2
3235;Twann-Tüscherz;2
3763;Därstetten;3
3764;Därstetten;3
3753;Diemtigen;3
3754;Diemtigen;3
3755;Diemtigen;3
3756;Diemtigen;3
3757;Diemtigen;3
3754;Erlenbach im Simmental;3
3758;Erlenbach im Simmental;3
3762;Erlenbach im Simmental;3
3764;Oberwil im Simmental;3
3765;Oberwil im Simmental;3
3766;Oberwil im Simmental;3
3645;Reutigen;2
3647;Reutigen;2
3645;Spiez;3
3646;Spiez;3
3700;Spiez;3
3702;Spiez;3
3704;Spiez;3
3705;Spiez;3
3711;Wimmis;3
3752;Wimmis;3
3631;Stocken-Höfen;3
3632;Stocken-Höfen;3
3632;Stocken-Höfen;3
3864;Guttannen;3
6083;Hasliberg;3
6084;Hasliberg;3
6085;Hasliberg;3
6086;Hasliberg;3
3862;Innertkirchen;3
3863;Innertkirchen;3
3856;Meiringen;3
3857;Meiringen;3
3860;Meiringen;3
3860;Meiringen;3
3860;Schattenhalb;3
3860;Schattenhalb;3
1657;Boltigen;3
3766;Boltigen;3
3770;Boltigen;3
3773;Lenk;3
3775;Lenk;3
3772;St. Stephan;3
3773;St. Stephan;3
3770;Zweisimmen;3
3771;Zweisimmen;3
3776;Zweisimmen;3
3777;Zweisimmen;3
3784;Gsteig;3
3785;Gsteig;3
3782;Lauenen;3
1657;Saanen;3
3777;Saanen;3
3778;Saanen;3
3780;Saanen;3
3781;Saanen;3
3783;Saanen;3
3792;Saanen;3
1738;Guggisberg;2
3150;Guggisberg;2
3156;Guggisberg;2
3157;Guggisberg;2
3158;Guggisberg;2
3159;Guggisberg;2
1738;Rüschegg;2
3099;Rüschegg;2
3152;Rüschegg;2
3153;Rüschegg;2
3154;Rüschegg;2
3156;Rüschegg;2
3157;Rüschegg;2
3148;Schwarzenburg;2
3150;Schwarzenburg;2
3152;Schwarzenburg;2
3154;Schwarzenburg;2
3157;Schwarzenburg;2
3183;Schwarzenburg;2
3086;Belp;2
3115;Belp;2
3122;Belp;2
3123;Belp;2
3124;Belp;2
3125;Belp;2
3664;Burgistein;2
3665;Burgistein;2
3115;Gerzensee;2
3663;Gurzelen;2
3664;Gurzelen;2
3629;Jaberg;2
3126;Kaufdorf;2
3122;Kehrsatz;2
3123;Kehrsatz;2
3115;Kirchdorf (BE);2
3116;Kirchdorf (BE);2
3116;Kirchdorf (BE);2
3116;Kirchdorf (BE);2
3125;Kirchdorf (BE);2
3126;Kirchdorf (BE);2
3629;Kirchdorf (BE);2
3086;Niedermuhlern;2
3087;Niedermuhlern;2
3099;Riggisberg;2
3128;Riggisberg;2
3132;Riggisberg;2
3664;Riggisberg;2
3087;Rüeggisberg;2
3088;Rüeggisberg;2
3088;Rüeggisberg;2
3089;Rüeggisberg;2
3099;Rüeggisberg;2
3132;Rüeggisberg;2
3154;Rüeggisberg;2
3155;Rüeggisberg;2
3662;Seftigen;2
3123;Toffen;2
3125;Toffen;2
3628;Uttigen;2
3664;Wattenwil;2
3665;Wattenwil;2
3086;Wald (BE);2
3086;Wald (BE);2
3087;Wald (BE);2
3096;Wald (BE);2
3127;Thurnen;2
3127;Thurnen;2
3128;Thurnen;2
3536;Eggiwil;3
3537;Eggiwil;3
3550;Eggiwil;3
3618;Eggiwil;3
6197;Eggiwil;3
3535;Langnau im Emmental;3
3543;Langnau im Emmental;3
3550;Langnau im Emmental;3
3551;Langnau im Emmental;3
3552;Langnau im Emmental;3
3553;Langnau im Emmental;3
3555;Langnau im Emmental;3
3434;Lauperswil;3
3436;Lauperswil;3
3438;Lauperswil;3
3543;Lauperswil;3
3550;Lauperswil;3
3551;Lauperswil;3
3533;Röthenbach im Emmental;3
3537;Röthenbach im Emmental;3
3538;Röthenbach im Emmental;3
3615;Röthenbach im Emmental;3
3618;Röthenbach im Emmental;3
3432;Rüderswil;3
3433;Rüderswil;3
3436;Rüderswil;3
3437;Rüderswil;3
3438;Rüderswil;3
3439;Rüderswil;3
3453;Rüderswil;3
6197;Schangnau;3
3534;Signau;3
3535;Signau;3
3543;Signau;3
3537;Trub;3
3552;Trub;3
3555;Trub;3
3556;Trub;3
3557;Trub;3
3537;Trubschachen;3
3555;Trubschachen;3
3556;Trubschachen;3
3633;Amsoldingen;2
3638;Blumenstein;2
3614;Buchholterberg;2
3615;Buchholterberg;2
3618;Buchholterberg;2
3674;Buchholterberg;2
3616;Eriz;2
3619;Eriz;2
6197;Eriz;2
3612;Fahrni;2
3617;Fahrni;2
3625;Heiligenschwendi;2
3613;Heimberg;2
3627;Heimberg;2
3671;Heimberg;2
3600;Hilterfingen;2
3625;Hilterfingen;2
3626;Hilterfingen;2
